continent,year,high_blood_sugar,obesity,high_blood_pressure,smoking,air_pollution_outdoor_&_indoor
Africa,1990,3644594.238117121,2001686.9552793556,5779287.233021995,2586857.0222912417,7133012.662101596
Africa,1991,3753047.047389614,2082042.8395615178,5906983.344219584,2645390.531839919,7178301.733364412
Africa,1992,3882772.873127033,2175434.540163962,6062517.187345185,2713961.013438843,7253961.624881987
Africa,1993,4027312.1320207133,2283576.496840804,6243835.002004768,2790838.5616118414,7336856.370727181
Africa,1994,4172375.581417801,2401530.585358199,6417581.112124789,2871063.750639706,7404893.519367592
Africa,1995,4291761.827529364,2486005.336903682,6553233.300992422,2934465.3001589985,7462203.109136427
Africa,1996,4474155.217555325,2643718.017048112,6796443.187784405,3030344.4195137997,7565435.30808001
Africa,1997,4675256.436196317,2828130.2206458002,7059946.449406812,3143123.392951202,7673883.542922015
Africa,1998,4818092.48477784,2959868.849891043,7225881.151774797,3209726.5718515227,7733136.553246812
Africa,1999,4943600.892234614,3086132.458333807,7370380.304583614,3258144.3754137727,7752573.0937464135
Africa,2000,5072146.580440069,3203062.814254671,7515492.089225991,3321540.785563189,7767137.037410411
Africa,2001,5181248.172987242,3307033.4464426823,7627156.176792007,3347524.546341226,7745304.780838813
Africa,2002,5318852.162447173,3414646.2532604276,7761272.412285619,3387580.9850915982,7718397.10953599
Africa,2003,5459594.881996555,3516372.82102285,7891040.356613979,3423698.897097115,7672330.554636013
Africa,2004,5578844.333665929,3596648.9566184366,7992707.635416025,3436119.616918691,7610141.504241601
Africa,2005,5696247.094852204,3679087.255833491,8098947.092248799,3443586.094332355,7529529.358904391
Africa,2006,5846828.331279104,3778436.3175621717,8249815.543274406,3478039.9172690427,7538562.5872428
Africa,2007,5960058.29004563,3837279.5156666436,8342646.54550199,3466815.1388132367,7478894.882221202
Africa,2008,6110968.095723796,3936720.136427871,8496617.164171211,3478539.342974045,7384453.903862382
Africa,2009,6283801.878065004,4066015.28140032,8688285.31496159,3504397.1333749043,7335041.826524412
Africa,2010,6429826.223868015,4177525.636730635,8850375.353864405,3514012.878281638,7261513.90929001
Africa,2011,6544479.060292796,4265433.434395926,8990865.081481202,3528043.861325167,7189749.597238792
Africa,2012,6697234.881028328,4392709.01625227,9170869.853833212,3541965.003825243,7175745.224478
Africa,2013,6829855.426323856,4492009.738433869,9309936.273758432,3550820.111034492,7123161.215779183
Africa,2014,7006038.787909448,4639838.901275272,9516367.274901623,3573682.314608532,7119368.008531202
Africa,2015,7235086.137520308,4833435.565852931,9788136.444250792,3629990.2703441973,7255077.744512432
Africa,2016,7437119.031232308,5004162.420059527,10033492.495990772,3678186.731961609,7279562.710373995
Africa,2017,7585326.668488794,5144092.874087396,10236514.618403982,3711460.638109776,7263196.345101576
Americas,1990,6310922.349026405,5574074.546783983,10828186.862915996,11372967.890888378,3589314.805859994
Americas,1991,6322131.271550405,5691359.040082795,10856724.218627969,11219782.764366008,3593756.454674402
Americas,1992,6405092.465484012,5847513.151576812,10918083.412499983,11128608.011739613,3629796.7680551927
